ProductID,一覧No,タイトル,タイトル状態,サブタイトル・シリーズ,著者,出版社,底本刊行,ISBN,eISBN,code,status,pdf,pages,captured_at,note,収録元,不足項目,次の作業
KP00001851,99,森林資源の環境経済史,検索リスト,近代日本の産業化と木材,山口明日香,慶應義塾大学出版会,2015-12,9784766422429,9784766492569,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00004666,121,おさなごころを科学する,検索リスト,進化する乳幼児観,森口佑介,新曜社,2014-03,9784788513747,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00004876,125,しあわせになるための「福島差別」論,検索リスト,,池田香代子 開沼博 児玉一八ほか,かもがわ出版,2018-01,9784780309393,,library.pref.hokkaido,未取得,,,,,検索リスト+取得台帳,pdf;pages;captured_at,取得したら pdf・pages・captured_at を記入し、status を取得済か不完全に更新する
KP00005918,62,趣味からはじめる昆虫学,検索リスト,知られざる虫の姿を新発見！,熊澤辰徳,オーム社,2016-06,9784274505836,,library.pref.hokkaido,取得済,趣味からはじめる昆虫学.pdf,167,2026-08-13,,検索リスト+取得台帳,,対応不要
KP00006166,,,未確認,,,,,,,,不完全,in_capture_20260921_KP00006166.pdf,1278,2026-09-21,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま / キャプチャが途中。取り直したら pages と status を更新する
KP00006167,,,未確認,,,,,,,,取得済,capture_20260922_KP00006167.pdf,717,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006168,,,未確認,,,,,,,,取得済,capture_20260922_KP00006168.pdf,761,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006169,,,未確認,,,,,,,,取得済,capture_20260922_KP00006169.pdf,849,2026-09-22,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006178,,,未確認,,,,,,,,取得済,capture_20260921_KP00006178.pdf,317,2026-09-21,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
KP00006179,,,未確認,,,,,,,,取得済,capture_20260916_KP00006179.pdf,277,2026-09-16,既存ファイルから取り込み（タイトル未確認）,取得台帳のみ,タイトル;著者;出版社;底本刊行;ISBN;サブタイトル・シリーズ;eISBN;code,KinoDenの書誌詳細（機関URL/bookdetail/p/このProductID）を開き、タイトル・著者・出版社・底本刊行・ISBN・eISBN・シリーズを転記する。詳細画面に無い項目は空のままにする / 取得元が分かればcodeを入れる。北海道立図書館なら library.pref.hokkaido。分からなければ空のまま
